SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
41,mrampur-sw1,FALSE,7/27/2025 14:33:42,7/27/2025 15:05:52,Switch,Central Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02233796296,Prov3
42,mlahachhewar-sw1,FALSE,7/27/2025 15:34:15,7/27/2025 15:59:50,Switch,********,Unknown,11th Shrawan,"0 days, 00 hrs, 25 min",,Unknown,0.0177662037,Prov3
43,mbal <-> mdatahub -Dillibazar Route || bal-core <-> datahub-core,,7/27/2025 16:33:23,7/27/2025 16:34:23,Link Flap,********,Unknown,11th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444394,**********
44,mpokhara-satmane-sw1,FALSE,7/27/2025 17:04:22,7/27/2025 17:46:33,Switch,Western Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02929398148,Prov4
45,mdatahub-sw3,FALSE,7/27/2025 17:22:59,7/27/2025 18:20:39,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 57 min",,Power,0.04004629629,Prov3
46,msirdibas-sw1,TRUE,7/27/2025 17:29:14,7/28/2025 8:51:24,Switch,Gorkha NTA,Full Solar POP,11th Shrawan,"0 days, 15 hrs, 22 min",,Power,0.6403935185,**********
47,mjantilake-sw1,FALSE,7/27/2025 17:58:19,7/28/2025 6:29:36,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 12 hrs, 31 min",,Power,0.521724537,Prov6
48,mdaphelake-sw1,TRUE,7/27/2025 17:58:48,7/28/2025 6:20:22,Switch,Far Western Region,Full Solar POP,11th Shrawan,"0 days, 12 hrs, 21 min",,Power,0.5149768519,**********
49,mdamak <->mitahari [30G] -BL Fiber | CRC,,7/27/2025 17:04:04,7/27/2025 17:11:00,CRC,********,Unknown,11th Shrawan,"0 days, 00 hrs, 06 min",We have informed to BL.,Unknown,0.004814814813,**********
50,mbuditola-sw1,FALSE,7/27/2025 19:27:54,7/28/2025 8:20:06,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 12 hrs, 52 min",,Power,0.53625,Prov7
51,mnepalgunj-te-0-0-27:To-mkhajura-sw1-xg-0-0-1,,7/27/2025 20:00:17,7/27/2025 22:30:00,Traffic Congestion,********,Congestion,11th Shrawan,"0 days, 02 hrs, 29 min",,Traffic Issue,0.1039699074,**********
52,mjamune-sw1,FALSE,7/27/2025 20:09:26,7/28/2025 10:51:37,Switch,Highway PoP,Rebooted,11th Shrawan,"0 days, 14 hrs, 42 min",,Power,0.6126273148,Prov4
53,mbalaju-te-0-0-0-0:To-mranibari-xe-2-0-2,,7/27/2025 20:11:56,7/27/2025 22:00:00,Traffic Congestion,********,Congestion,11th Shrawan,"0 days, 01 hrs, 48 min",,Traffic Issue,0.0750462963,**********
54,mbaglung-te-0-0-26:To-mkusma-te-0-0-13,,7/27/2025 20:13:35,7/27/2025 22:00:00,Traffic Congestion,********,Congestion,11th Shrawan,"0 days, 01 hrs, 46 min",,Traffic Issue,0.07390046296,**********
55,mlekhanath-te-0-0-0-15:To-mkusma-LAG-BE13-te-0-0-12,,7/27/2025 20:13:35,7/27/2025 22:10:00,Traffic Congestion,********,Congestion,11th Shrawan,"0 days, 01 hrs, 56 min",,Traffic Issue,0.0808449074,**********
56,mbirauta-te-0-0-0-0:To-mwaling-xe-1-3-0,,7/27/2025 20:28:19,7/27/2025 22:00:00,Traffic Congestion,********,Congestion,11th Shrawan,"0 days, 01 hrs, 31 min",,Traffic Issue,0.06366898148,**********
57,mnaamdanda-sw1,TRUE,7/27/2025 21:33:00,7/28/2025 9:13:00,Switch,Central Region,Full Solar POP,11th Shrawan,"0 days, 11 hrs, 40 min",,Power,0.4861111111,Prov3
58,mshivgunj-sw1,,7/27/2025 21:49:00,7/27/2025 22:06:08,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 17 min",,Power,0.01189814814,Prov1
59,mrindanda-sw1,FALSE,7/27/2025 21:52:57,7/28/2025 8:40:09,Switch,Central Region,Unknown,11th Shrawan,"0 days, 10 hrs, 47 min",,Unknown,0.4494444444,Prov3
60,msardi-sw1,FALSE,7/27/2025 22:07:35,7/27/2025 22:14:05,Switch,Western Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004513888889,Prov5
61,mpatan-baitadi-sw1,,7/27/2025 22:29:03,7/28/2025 8:41:13,Switch,********,Rebooted,11th Shrawan,"0 days, 10 hrs, 12 min",,Power,0.4251157407,Prov7
62,mdandagaun-sw1,FALSE,7/27/2025 22:40:20,7/27/2025 22:40:20,Switch,Central Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 00 min",,Power,0,Prov3
63,mkataridanda-sw1,FALSE,7/27/2025 22:55:40,7/28/2025 7:16:43,Switch,Eastern Region,Manual Down/Weather,11th Shrawan,"0 days, 08 hrs, 21 min",,Manual Down,0.3479513889,**********
64,mharkatedanda-sw1,FALSE,7/27/2025 23:13:22,7/28/2025 12:48:58,Switch,Eastern Region,POE device Damage,11th Shrawan,"0 days, 13 hrs, 35 min",,Device,0.5663888889,**********
65,millam,,7/27/2025 23:44:16,7/28/2025 3:41:28,MPLS,********,Rebooted,11th Shrawan,"0 days, 03 hrs, 57 min",,Power,0.1647222222,Prov1
1,mhaleshi-sw1,FALSE,7/28/2025 1:42:34,7/28/2025 6:58:10,Switch,Eastern Region,Rebooted,12th Shrawan,"0 days, 05 hrs, 15 min",,Power,0.2191666667,Prov1
2,msardi-sw1,FALSE,7/28/2025 2:14:36,7/28/2025 11:26:52,Switch,Western Region,Rebooted,12th Shrawan,"0 days, 09 hrs, 12 min",,Power,0.3835185185,Prov5
3,mkakanidanda-sw1,TRUE,7/28/2025 4:11:35,7/28/2025 4:11:35,Switch,Central Region,Full Solar POP,12th Shrawan,"0 days, 00 hrs, 00 min",,Power,0,Prov3
4,xe-1/2/6 Connected-to-PSS32-BHW-01#1-10-C6-for-IPLC-LAG-ae7 at-mbhairahawa,,7/28/2025 4:55:51,7/28/2025 6:18:00,Link Down,********,Unknown,12th Shrawan,"0 days, 01 hrs, 22 min",,Unknown,0.05704861111,**********
5,mjumlabazaar-sw1,TRUE,7/28/2025 4:27:41,7/28/2025 9:01:09,Switch,Far Western Region,Full Solar POP,12th Shrawan,"0 days, 04 hrs, 33 min",,Power,0.1899074074,Prov6
6,mtrishuli - mgalchi [10G],,7/28/2025 5:35:43,7/29/2025 12:23:00,Optical Power,********,Optical Power,12th Shrawan,"1 days, 06 hrs, 47 min",As per shree Krishna ji  team could not do the needful due to rainfall Team will look into the issue tomorrow ,Fiber,1.282835648,**********
7,millam,,7/28/2025 6:17:20,7/28/2025 6:47:20,MPLS,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 30 min",,Power,0.02083333334,Prov1
8,mcharikot,FALSE,7/28/2025 6:26:52,7/28/2025 6:34:13,MPLS,Central Region,Rebooted,12th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.005104166667,Prov3
9,mdhusel-sw1,FALSE,7/28/2025 6:18:54,7/28/2025 10:00:11,Switch,Makawanpur NTA,UPS Hung/Rebooted,12th Shrawan,"0 days, 03 hrs, 41 min",,Power,0.1536689815,Prov3
10,mchitredanda-lamjung-sw1,,7/28/2025 6:13:53,7/28/2025 9:45:12,Switch,********,Rebooted,12th Shrawan,"0 days, 03 hrs, 31 min",,Power,0.1467476852,Prov5
11,msankrantibazaar,,7/28/2025 7:34:34,7/28/2025 9:44:00,MPLS,********,CT Line Issue,12th Shrawan,"0 days, 02 hrs, 09 min",,Power,0.08988425926,Prov1
12,mbutwal-golpark-sw1,FALSE,7/28/2025 8:47:20,7/28/2025 9:19:30,Switch,Western Region,Shut/unshut Port,12th Shrawan,"0 days, 00 hrs, 32 min",,Logical Issue,0.02233796296,Prov5
13,mmalangwa <-> mchapur [20G],,7/28/2025 8:27:41,7/28/2025 11:22:41,Link Down,********,Fiber Breakage,12th Shrawan,"0 days, 02 hrs, 55 min",,Fiber,0.1215277778,**********
14,mkhadichaur <->msanothimi [10G] || mkhadichaur <->mcharikot [10G] || mkhadichaur <->mdhumbarahi-wsn [10G],,7/28/2025 10:06:37,7/28/2025 15:15:15,Link Down,********,Fiber Burnt,12th Shrawan,"0 days, 05 hrs, 08 min",,Fiber,0.2143287037,**********
15,mchautara,FALSE,7/28/2025 10:20:00,7/28/2025 11:58:55,MPLS,Central Region,Rebooted,12th Shrawan,"0 days, 01 hrs, 38 min",,Power,0.06869212963,Prov3
16,mpathichaur-sw1,FALSE,7/28/2025 9:53:06,7/28/2025 18:35:17,Switch,Western Region,Unknown,12th Shrawan,"0 days, 08 hrs, 42 min",,Unknown,0.3626273148,Prov4
17,msanothimi <->mbanepa [10G],,7/28/2025 11:57:55,7/30/2025 17:43:00,Optical Power,********,Optical Power,12th Shrawan,"2 days, 05 hrs, 45 min","As per Udip ji, team could not do the needful due to rainfall team will look into the issue tomorrow",Fiber,2.239641204,**********
18,madarshanagar - mkalaiya [30G],,7/28/2025 12:06:23,7/28/2025 13:27:00,Link Down,********,Fiber Issue,12th Shrawan,"0 days, 01 hrs, 20 min","As per Kundan ji, Team is busy at corporate client support at this time after competing task team will look into the issue if possible link will be maintained by evening otherwise tomorrow   ",Fiber,0.05598379629,**********
19,mtulsipur,FALSE,7/28/2025 12:16:00,7/28/2025 12:33:57,MPLS,Far Western Region,CT Line Issue/Backup Drained,12th Shrawan,"0 days, 00 hrs, 17 min",,Power,0.01246527778,Prov5
20,mbhandara <-> mmanahari [10G],,7/28/2025 12:46:08,7/28/2025 13:31:00,Link Down,********,Team Working,12th Shrawan,"0 days, 00 hrs, 44 min",,Fiber,0.03115740741,**********
21,msimrangadh,,7/28/2025 12:59:00,7/28/2025 13:05:00,MPLS,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 06 min", ,Power,0.004166666666,Prov2
22,mpulchowk <-> msoaltee [100G],,7/28/2025 13:21:00,7/28/2025 13:22:00,Link Flap,********,Unknown,12th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444394,**********
23,millam,,7/28/2025 13:27:21,7/28/2025 14:00:00,MPLS,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02267361111,Prov1
24,mdhalkebar <-> mjanakpur [10G],,7/28/2025 13:26:08,7/28/2025 14:20:13,Link Down,********,Fiber Breakage,12th Shrawan,"0 days, 00 hrs, 54 min",,Fiber,0.03755787038,**********
25,mdaphelake-sw1,TRUE,7/28/2025 13:46:00,7/28/2025 18:03:44,Losses/Latency,Far Western Region,Full Solar POP,12th Shrawan,"0 days, 04 hrs, 17 min",,Power,0.1789814815,Prov6
26,mkolkoche-sw1,,7/28/2025 13:23:54,7/28/2025 15:51:09,Switch,********,Rebooted,12th Shrawan,"0 days, 02 hrs, 27 min",,Power,0.1022569444,Prov5
27,mpulchowk <-> msoaltee [100G],,7/28/2025 13:58:00,7/29/2025 17:29:00,Optical Power,********,Unknown,12th Shrawan,"1 days, 03 hrs, 31 min",Team is busy with another task. Team will do the needful tomorrow.,Unknown,1.146527778,**********
28,mjhiljhile - mdamak [10G],,7/28/2025 14:13:00,7/29/2025 13:25:59,Link Down,********,Pole shifting,12th Shrawan,"0 days, 23 hrs, 12 min",Link is affected due to pole shifting task is going on by NEA in between Jhiljhile and Kerkha. Team is working. ETR 2-3 hours.,Fiber,0.967349537,**********
29,millam,,7/28/2025 14:25:00,7/28/2025 14:49:00,MPLS,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 24 min",,Power,0.01666666666,Prov1
30,mtatopani-sw1,FALSE,7/28/2025 14:38:00,7/28/2025 15:07:03,Switch,********,Unknown,12th Shrawan,"0 days, 00 hrs, 29 min",,Unknown,0.02017361111,Prov3
31,mbeltar-dls-sw1,FALSE,7/28/2025 14:58:00,7/28/2025 15:01:00,Switch,Eastern Region,Rebooted,12th Shrawan,"0 days, 00 hrs, 03 min", ,Power,0.002083333333,Prov1
32,mbuditola-sw1,FALSE,7/28/2025 15:18:05,7/28/2025 18:05:12,Switch,,CT Line Issue/Backup Drained,12th Shrawan,"0 days, 02 hrs, 47 min","As per Hemraj ji, there is a CT line issue, and the generator was operated throughout the day. However, the local support now needs to return home, so the generator has been stopped. The host will be up tomorrow morning or once the CT line is restored. .",Power,0.1160532407,Prov7
33,mkataridanda-sw1,FALSE,7/28/2025 15:11:42,7/28/2025 18:22:42,Switch,Eastern Region,Unknown,12th Shrawan,"0 days, 03 hrs, 11 min","As per Chandra jee, weather is not favorable for solar operation to charge the batteries as it's raining there since yesterday and is still raining, so host is affected.",Unknown,0.1326388889,Prov1
34,mbal <-> mgongabu [10G],,7/28/2025 16:00:12,7/28/2025 17:35:12,Link Down,********,Fiber Breakage,12th Shrawan,"0 days, 01 hrs, 35 min",,Fiber,0.06597222222,**********
35,mbal-xe-5-2-0:To-mgongabu-xe-0-2-0-LAG-ae19-Syuchatar-ADSS,,7/28/2025 16:09:26,7/28/2025 18:30:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 02 hrs, 20 min",,Traffic Issue,0.09761574074,**********
36,mjhiljhile,FALSE,7/28/2025 17:12:18,7/29/2025 13:23:30,MPLS,Eastern Region,Fiber Breakage,12th Shrawan,"0 days, 20 hrs, 11 min","As per Bijay jee, there is fiber breakage. Power is fine at the POP. ",Fiber,0.8411111111,Prov1
37,mkhawadanda-sw1,FALSE,7/28/2025 17:04:24,7/28/2025 19:45:25,Switch,Central Region,Unknown,12th Shrawan,"0 days, 02 hrs, 41 min",,Unknown,0.1118171296,Prov3
38,mnamjung-sw1,TRUE,7/28/2025 16:49:48,7/28/2025 17:51:58,Switch,Gorkha,Full Solar POP,12th Shrawan,"0 days, 01 hrs, 02 min",,Power,0.0431712963,Prov4
39,mchanauli-sw1,FALSE,7/28/2025 17:34:03,7/28/2025 17:45:55,Switch,Central Region,Unknown,12th Shrawan,"0 days, 00 hrs, 11 min",,Unknown,0.008240740739,Prov3
40,mdaphelake-sw1,TRUE,7/28/2025 17:17:28,7/29/2025 10:59:02,Switch,Far Western Region,Full Solar POP,12th Shrawan,"0 days, 17 hrs, 41 min",,Power,0.7371990741,**********
41,mbaitadibazaar,FALSE,7/28/2025 17:50:56,7/28/2025 17:55:56,MPLS,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003472222226,Prov7
42,mrindanda-sw1,FALSE,7/28/2025 17:48:31,7/29/2025 7:55:59,Switch,Central Region,Rebooted,12th Shrawan,"0 days, 14 hrs, 07 min",Informed to House owner to look into issue and update accordingly.,Power,0.5885185185,Prov3
43,mbuditola-sw1,FALSE,7/28/2025 18:01:15,7/29/2025 10:45:38,Switch,Far Western Region,CT Line Issue/Backup Drained,12th Shrawan,"0 days, 16 hrs, 44 min","As per Hemraj ji, there is a CT line issue, and the generator was operated throughout the day. However, the local support now needs to return home, so the generator has been stopped. The host will be up tomorrow morning or once the CT line is restored. .",Power,0.6974884259,Prov7
44,mhaleshi-sw1,FALSE,7/28/2025 18:03:33,7/28/2025 19:03:45,Switch,Eastern Region,Rebooted,12th Shrawan,"0 days, 01 hrs, 00 min",Informed to Diwarkar ji to look into issue and update accordingly.,Power,0.04180555556,Prov1
45,mtikapur-dls-sw1 <-> mlamki,,7/28/2025 18:05:33,7/29/2025 14:06:40,Link Down,********,Fiber Issue,12th Shrawan,"0 days, 20 hrs, 01 min",As per Tikapur team there is raining start so they are unable to work now. So the task is post pond for tomorrow morning they will update us when the task is start. Thank you,Fiber,0.8341087963,**********
46,mpatan-baitadi-sw1,,7/28/2025 18:11:13,7/29/2025 8:49:21,Switch,********,Rebooted,12th Shrawan,"0 days, 14 hrs, 38 min",,Power,0.6098148148,Prov7
47,msirdibas-sw1,TRUE,7/28/2025 18:21:24,7/29/2025 7:13:35,Switch,Gorkha NTA,Full Solar POP,12th Shrawan,"0 days, 12 hrs, 52 min",,Power,0.5362384259,**********
48,mtadi,FALSE,7/28/2025 18:59:28,7/28/2025 19:18:24,MPLS,********,CT Line Issue/Backup Drained,12th Shrawan,"0 days, 00 hrs, 18 min",There is no ct line and host got down after backup drain host got reachable after generator operation.,Power,0.01314814815,Prov3
49,mdudhauli-sw1,FALSE,7/28/2025 15:15:55,7/30/2025 8:36:00,Switch,Eastern Region,Unknown,12th Shrawan,"1 days, 17 hrs, 20 min",Interface down at kataridanda pop side so this has been inform to chandra dai today evening he will look into this issue.,Unknown,1.722280093,**********
50,millam,,7/28/2025 19:23:00,7/29/2025 7:09:00,MPLS,********,CT Line Issue,12th Shrawan,"0 days, 11 hrs, 46 min",,Power,0.4902777778,Prov1
51,mranjha-sw1,FALSE,7/28/2025 19:32:00,7/28/2025 19:50:32,Switch,Far Western Region,Unknown,12th Shrawan,"0 days, 00 hrs, 18 min",,Unknown,0.01287037037,Prov5
52,mdulegauda-mlekhanath[10G],,7/28/2025 19:34:00,7/29/2025 11:26:11,Link Down,********,Fiber Breakage,12th Shrawan,"0 days, 15 hrs, 52 min",,Fiber,0.6612384259,**********
53,mjaleshwore-te-0-0-0-3:To-mbardibas-te-0-0-0-0-LAG-BE4,,7/28/2025 19:41:46,7/28/2025 22:00:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 02 hrs, 18 min",,Traffic Issue,0.09599537037,**********
54,mbutwal-dh-xe-5-0-2:To-mpalpa-te-0-0-24,,7/28/2025 19:48:25,7/28/2025 20:10:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 00 hrs, 21 min",,Traffic Issue,0.01498842593,**********
55,mkalaiya-te-0-0-0-0:To-madarshanagar-te-0-1-0-5-BE1-LACP-[30G],,7/28/2025 19:54:42,7/28/2025 20:30:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 00 hrs, 35 min",,Traffic Issue,0.02451388889,**********
56,mnepalgunj-te-0-0-27:To-mkhajura-sw1-xg-0-0-1,,7/28/2025 20:32:23,7/28/2025 22:00:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 01 hrs, 27 min",,Traffic Issue,0.06084490741,**********
57,mlekhanath-te-0-0-0-15:To-mkusma-LAG-BE13-te-0-0-12,,7/28/2025 20:28:14,7/28/2025 22:00:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 01 hrs, 31 min",,Traffic Issue,0.06372685185,**********
58,mbal-et-3-0-5-Connected-to-mdhalkebar-hu-0–1–0-0-LAG-BE11,,7/28/2025 20:38:16,7/28/2025 22:00:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 01 hrs, 21 min",,Traffic Issue,0.05675925926,**********
59,gi-0-0-1.mmahendranagar-jnk-sw1:To-xg-0-0-3.mdhalkebar-dls-sw1,,7/28/2025 20:39:38,7/28/2025 21:00:00,Traffic Congestion,********,Congestion,12th Shrawan,"0 days, 00 hrs, 20 min",,Traffic Issue,0.01414351852,**********
60,mjamune-sw1,FALSE,7/28/2025 21:16:54,7/29/2025 8:56:27,Switch,Highway PoP,Rebooted,12th Shrawan,"0 days, 11 hrs, 39 min",,Power,0.4857986111,Prov4
61,mdhading-wireless-sw1,FALSE,7/28/2025 21:46:00,7/28/2025 21:56:43,Switch,Highway PoP,Rebooted,12th Shrawan,"0 days, 00 hrs, 10 min",,Power,0.00744212963,Prov3
62,mbhalamchaur-sw1,,7/28/2025 22:39:32,7/28/2025 22:45:50,Switch,********,Rebooted,12th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004375000004,Prov3
63,mdoti-sw1,FALSE,7/28/2025 22:56:14,7/28/2025 23:04:00,Switch,Far Western Region,Rebooted,12th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.005393518513,Prov7
64,mjantilake-sw1,FALSE,7/28/2025 23:15:43,7/29/2025 5:21:18,Switch,Far Western Region,Rebooted,12th Shrawan,"0 days, 06 hrs, 05 min",,Power,0.2538773148,Prov6
65,mdeupurdanda-sw1,FALSE,7/28/2025 23:50:00,7/29/2025 0:04:00,Switch,Central Region,Routed,12th Shrawan,"0 days, 00 hrs, 14 min",,Fiber,0.009722222225,Prov3
66,mnagarkot-sw1 - mdeupurdanda-sw1,,7/28/2025 23:50:00,7/29/2025 11:44:00,Link Down,********,Fiber Breakage,12th Shrawan,"0 days, 11 hrs, 54 min",  We will test the link tonight and will update accordingly.,Fiber,0.4958333333,**********
1,mjujeneta-sw1,FALSE,7/29/2025 0:42:10,7/29/2025 4:56:43,Switch,Western Region,Rebooted,13th Shrawan,"0 days, 04 hrs, 14 min",,Power,0.1767708333,Prov5
2,mkataridanda-sw1,FALSE,7/29/2025 0:54:01,7/29/2025 5:27:43,Switch,Eastern Region,Rebooted,13th Shrawan,"0 days, 04 hrs, 33 min",,Power,0.1900694444,Prov1
3,mkalikot-sw1,FALSE,7/29/2025 0:51:02,7/29/2025 10:36:44,Switch,Far Western Region,Rebooted,13th Shrawan,"0 days, 09 hrs, 45 min",,Power,0.4067361111,Prov7
4,mdhusel-sw1,FALSE,7/29/2025 1:30:17,7/29/2025 9:11:27,Switch,Makawanpur NTA,Rebooted,13th Shrawan,"0 days, 07 hrs, 41 min",,Power,0.3202546296,Prov3
5,mpurtighat-sw1,FALSE,7/29/2025 1:25:55,7/29/2025 7:17:06,Switch,Western Region,Unknown,13th Shrawan,"0 days, 05 hrs, 51 min",,Unknown,0.2438773148,Prov4
6,mbhumahi-sw1,FALSE,7/29/2025 2:21:00,7/29/2025 11:27:31,Switch,Western Region,Fiber Issue,13th Shrawan,"0 days, 09 hrs, 06 min",,Fiber,0.379525463,Prov5
7,mkakanidanda-sw1,TRUE,7/29/2025 2:26:42,7/29/2025 11:32:44,Switch,Central Region,Full Solar POP,13th Shrawan,"0 days, 09 hrs, 06 min",,Power,0.3791898148,Prov3
8,msankrantibazaar,,7/29/2025 2:38:29,7/29/2025 9:53:00,MPLS,********,CT Line Issue/Backup Drained,13th Shrawan,"0 days, 07 hrs, 14 min",,Power,0.3017476852,Prov1
9,mkhalanga-sw1,FALSE,7/29/2025 3:16:00,7/29/2025 3:19:00,Switch,Far Western Region,Rebooted,13th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov6
10,mjumlabazaar-sw1,TRUE,7/29/2025 3:21:17,7/29/2025 7:23:31,Switch,Far Western Region,Full Solar POP,13th Shrawan,"0 days, 04 hrs, 02 min",,Power,0.1682175926,Prov6
11,mchitredanda-lamjung-sw1,,7/29/2025 2:36:47,7/29/2025 12:04:13,Switch,********,Rebooted,13th Shrawan,"0 days, 09 hrs, 27 min",,Power,0.3940509259,Prov5
12,mhille - mpakhribas,,7/29/2025 4:05:00,7/29/2025 15:02:19,Link Down,********,Fiber Issue,13th Shrawan,"0 days, 10 hrs, 57 min",Informed to Niraj ji He will look into the issue,Fiber,0.4564699074,**********
13,mtaapkharka-sw1,TRUE,7/29/2025 4:55:33,7/30/2025 14:27:43,Switch,Central Region,Full Solar POP,13th Shrawan,"1 days, 09 hrs, 32 min","According to Pradip ji, it is raining heavily in that area and there is no sunlight, which is why the host is down. The host will start working only after the weather clears up.",Power,1.397337963,Prov3
14,mlapa-sw1,TRUE,7/29/2025 5:28:36,7/29/2025 11:53:38,Switch,Dhading NTA,Full Solar POP,13th Shrawan,"0 days, 06 hrs, 25 min",,Power,0.2673842593,Prov3
15,mbelbari - mpathari [10G],,7/29/2025 4:44:48,7/29/2025 13:24:48,Link Down,********,Fiber Issue,13th Shrawan,"0 days, 08 hrs, 40 min",,Fiber,0.3611111111,**********
16,mletang - mdamak [10G],,7/29/2025 4:47:00,7/29/2025 17:22:01,Link Down,********,Fiber Breakage,13th Shrawan,"0 days, 12 hrs, 35 min","As per OM ji ,team working . It will take time . ",Fiber,0.5243171296,**********
17,mkataridanda-sw1,FALSE,7/29/2025 7:07:43,7/29/2025 8:22:43,Switch,Eastern Region,Rebooted,13th Shrawan,"0 days, 01 hrs, 15 min",,Power,0.05208333334,Prov1
18,mhaleshi-sw1,FALSE,7/29/2025 7:09:21,7/29/2025 13:05:11,Switch,Eastern Region,Rebooted,13th Shrawan,"0 days, 05 hrs, 55 min",,Power,0.2471064815,Prov1
19,murlabari-dls-sw1,FALSE,7/29/2025 8:18:00,7/29/2025 8:37:00,Switch,Eastern Region,Routed,13th Shrawan,"0 days, 00 hrs, 19 min",,Fiber,0.01319444444,Prov1
20,mpathari,FALSE,7/29/2025 8:18:00,7/29/2025 13:31:00,MPLS,Eastern Region,Fiber Burnt,13th Shrawan,"0 days, 05 hrs, 13 min",As per OM dai there is Fiber Burnt .Plus Communication Team is working for the same.,Fiber,0.2173611111,Prov1
21,mdamak-murlabari-dls-sw1,,7/29/2025 8:18:00,7/29/2025 17:57:00,Link Down,********,Fiber Breakage,13th Shrawan,"0 days, 09 hrs, 39 min",Link has been tested. It is up. We will test the link tonight and update the status.,Fiber,0.4020833333,**********
22,mbandipur-sw1,FALSE,7/29/2025 9:30:35,7/29/2025 9:52:49,Switch,Highway PoP,Unknown,13th Shrawan,"0 days, 00 hrs, 22 min",,Unknown,0.01543981482,**********
23,mletang,FALSE,7/29/2025 9:45:00,7/29/2025 10:16:00,MPLS,Eastern Region,Rebooted,13th Shrawan,"0 days, 00 hrs, 31 min",,Power,0.02152777778,Prov1
24,mkawaswoti <->mdumkibas [10G],,7/29/2025 9:18:21,7/29/2025 14:08:23,Link Down,********,Fiber Breakage,13th Shrawan,"0 days, 04 hrs, 50 min",,Fiber,0.201412037,**********
25,mdamak <->mitahari [30G] -BL Fiber,,7/29/2025 10:33:00,7/29/2025 13:40:18,Link Down,********,Fiber Issue,13th Shrawan,"0 days, 03 hrs, 07 min",,Fiber,0.1300694444,**********
